lokacija,broj_soba,kvadratura,sprat,novogradnja,centralno_grejanje,lift,parking,uknjizen,stanje,cena,klasa,adresa,latitude,longitude
Višnjicka banja,2,68,P,DA,NE,NA,DA,DA,1,955.8823529,.9-1.1K,"Višnjicka banja, Beograd, Srbija",44.8203945,20.5355783
Kanarevo brdo,1,44,P,NE,DA,NA,NE,NA,0,954.5454545,.9-1.1K,"Kanarevo brdo, Beograd, Srbija",44.7521754,20.4553526
Karaburma,3,66,III-IV,NE,NE,NA,DA,DA,1,954.5454545,.9-1.1K,"Karaburma, Beograd, Srbija",44.8130704,20.5125638
Labudovo brdo,3,65,P,NE,DA,DA,NA,DA,1,953.8461538,.9-1.1K,"Labudovo brdo, Beograd, Srbija",44.728355,20.4245747
Mirijevo 1,2,54,I-II,DA,NE,NA,NA,NE,2,953.7037037,.9-1.1K,"Mirijevo 1, Beograd, Srbija",44.7944854,20.527983
Mirijevo 2,2,54,III-IV,NE,DA,NA,NA,DA,0,953.7037037,.9-1.1K,"Mirijevo 2, Beograd, Srbija",44.7891144,20.532774
Višnjicka banja,2,64,I-II,NA,DA,NA,DA,NE,1,953.125,.9-1.1K,"Višnjicka banja, Beograd, Srbija",44.8203945,20.5355783
Kumodraž 1,2,42,I-II,DA,NE,NA,DA,DA,NA,952.3809524,.9-1.1K,"Kumodraž 1, Beograd, Srbija",44.7424673,20.5159309
Petlovo brdo,2,42,I-II,NE,NE,NA,NA,DA,1,952.3809524,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
Mirijevo 1,3,83,I-II,NE,DA,NA,NA,DA,1,951.8072289,.9-1.1K,"Mirijevo 1, Beograd, Srbija",44.7944854,20.527983
Višnjicka banja,3,83,V+,DA,DA,DA,NA,DA,2,951.8072289,.9-1.1K,"Višnjicka banja, Beograd, Srbija",44.8203945,20.5355783
"Novi Beograd, Studentski grad",3,62,V+,NA,DA,DA,DA,DA,NA,951.6129032,.9-1.1K,"Novi Beograd, Studentski grad, Beograd, Srbija",44.8262971,20.39979416
Medakovic 2,2,41,V+,NA,DA,DA,DA,DA,1,951.2195122,.9-1.1K,"Medakovic 2, Beograd, Srbija",44.7749523,20.4997118
Bele Vode,1,30,P,DA,NE,NA,NA,DA,1,950,.9-1.1K,"Bele Vode, Beograd, Srbija",44.7504778,20.4060418
Bele Vode,1,27,P,DA,NE,NA,NA,DA,1,950,.9-1.1K,"Bele Vode, Beograd, Srbija",44.7504778,20.4060418
Bele Vode,1,28,III-IV,DA,NE,NA,NA,DA,1,950,.9-1.1K,"Bele Vode, Beograd, Srbija",44.7504778,20.4060418
Borca,1,40,I-II,NA,DA,NA,NA,NA,NA,950,.9-1.1K,"Borca, Beograd, Srbija",44.8773292,20.4570078
Cerak,3,60,I-II,DA,DA,NA,NA,NA,NA,950,.9-1.1K,"Cerak, Beograd, Srbija",44.7508222,20.4177298
Julino brdo,1,42,I-II,NE,DA,DA,NE,NE,NA,950,.9-1.1K,"Julino brdo, Beograd, Srbija",44.7679761,20.4098406
Petlovo brdo,1,22,P,DA,DA,NA,NA,NE,NA,950,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
Višnjicka banja,3,83,III-IV,DA,DA,DA,NA,DA,2,950,.9-1.1K,"Višnjicka banja, Beograd, Srbija",44.8203945,20.5355783
Petlovo brdo,2,61,I-II,NE,DA,NA,NA,DA,1,949.1803279,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
Medakovic 3,2,59,P,NA,DA,DA,NA,DA,NA,949.1525424,.9-1.1K,"Medakovic 3, Beograd, Srbija",44.7735266,20.5044348
Karaburma,1,41,P,NE,DA,NA,NA,DA,1,948.7804878,.9-1.1K,"Karaburma, Beograd, Srbija",44.8130704,20.5125638
Banjica,2,58,V+,NE,DA,DA,NA,DA,NA,948.2758621,.9-1.1K,"Banjica, Beograd, Srbija",44.7562005,20.47756
Julino brdo,2,58,V+,NE,DA,DA,NE,DA,1,948.2758621,.9-1.1K,"Julino brdo, Beograd, Srbija",44.7679761,20.4098406
Kanarevo brdo,3,58,I-II,NE,DA,NA,NE,DA,0,948.2758621,.9-1.1K,"Kanarevo brdo, Beograd, Srbija",44.7521754,20.4553526
